episode,scramble,solved,steps,reward,epsilon,solve_rate,avg_steps,avg_reward,total_solves,best_streak,tile_accuracy
750,3,false,25,-3.7500,0.927833,0.0400,24.10,-0.2310,45,4,0.1667
760,3,false,25,-7.5000,0.926998,0.0500,23.86,0.8023,46,4,0.0833
770,3,false,25,-3.7500,0.926257,0.0400,24.06,-0.2312,46,4,0.0833
780,3,false,25,-2.0833,0.925053,0.0400,24.06,-0.1312,46,4,0.4167
790,3,false,25,-2.5000,0.924129,0.0300,24.30,-0.9978,46,4,0.2083
800,3,false,25,-4.5833,0.923205,0.0400,24.08,-0.1040,47,4,0.1250
810,3,false,25,-2.5000,0.922282,0.0400,24.08,0.0210,47,4,0.2083
820,3,false,25,-4.1667,0.921360,0.0500,23.88,1.0795,48,4,0.2083
830,3,false,25,-5.4167,0.920439,0.0500,23.88,1.0587,48,4,0.3750
840,3,false,25,-5.0000,0.919795,0.0600,23.64,2.1503,50,4,0.1667
850,3,false,25,-5.4167,0.918600,0.0500,23.86,1.0273,50,4,0.1250
860,3,false,25,-5.8333,0.917682,0.0400,24.10,-0.0893,50,4,0.0417
870,3,false,25,-7.9167,0.916856,0.0600,23.62,1.9690,52,4,0.1250
880,3,false,25,-2.9167,0.915848,0.0700,23.38,2.9565,53,4,0.1667
890,3,false,25,-2.9167,0.914933,0.0900,22.94,5.0650,55,4,0.2083
900,3,false,25,-2.5000,0.914018,0.0800,23.16,4.1295,55,4,0.1667
910,3,true,1,100.0000,0.913105,0.0900,22.92,5.0420,56,4,1.0000
920,3,false,25,-7.5000,0.912192,0.0900,22.88,5.0127,57,4,0.0833
930,3,false,25,-5.4167,0.911463,0.0900,22.88,5.1377,57,4,0.0833
940,3,true,1,100.0000,0.910370,0.1100,22.40,7.2085,61,4,0.3333
950,3,false,25,-5.4167,0.909460,0.1100,22.40,7.1668,61,4,0.1250
960,3,false,25,-2.9167,0.908551,0.1100,22.40,7.3960,61,4,0.1250
970,3,false,25,-4.1667,0.907642,0.1000,22.64,6.3210,62,4,0.2083
